umpire,country
SJA Taufel,Australia
PR Reiffel,Australia
BNJ Oxenford,Australia
SD Fry,Australia
RJ Tucker,Australia
BR Doctrove,Dominica
NJ Llong,England
MR Benson,England
SJ Davis,England
RK Illingworth,England
AY Dandekar,India
A Nand Kishore,India
Nitin Menon,India
AK Chaudhary,India
A Deshmukh,India
KN Ananthapadmanabhan,India
YC Barde,India
S Ravi,India
CK Nandan,India
AV Jayaprakash,India
SS Hazare,India
K Hariharan,India
SL Shastri,India
SK Tarapore,India
S Das,India
AM Saheba,India
VA Kulkarni,India
C Shamshuddin,India
RM Deshpande,India
K Srinath,India
PG Pathak,India
K Bharatan,India
VK Sharma,India
GA Pratapkumar,India
I Shivram,India
SD Ranade,India
Subroto Das,India
K Srinivasan,India
S Asnani,India
CB Gaffaney,New Zealand
BF Bowden,New Zealand
GAV Baxter,New Zealand
AL Hill,New Zealand
Asad Rauf,Pakistan
Aleem Dar,Pakistan
M Erasmus,South Africa
IL Howell,South Africa
RE Koertzen,South Africa
JD Cloete,South Africa
DJ Harper,South Australia
HDPK Dharmasena,Sri Lanka
TH Wijewardene,Sri Lanka
RB Tiffin,Southern Rhodesia
BG Jerling,Union of South Africa
